step,loss,grad_norm,seconds
1,0.4204314351081848,0.49326515197753906,2.351081104000002
2,0.3589233160018921,0.5286188721656799,0.32901222899999993
3,0.3706353008747101,0.4793195128440857,0.3003029529999992
4,0.3320612907409668,0.4868285357952118,0.27339158899999916
5,0.33463242650032043,0.524896502494812,0.30222297700001377
6,0.3273063898086548,0.5357866883277893,0.26532401200000777
7,0.308907687664032,0.5880801677703857,0.2998784760000035
8,0.27310556173324585,0.46885544061660767,0.3057623729999932
9,0.3620792031288147,0.4669991433620453,0.2677633739999976
10,0.28197044134140015,0.5947064757347107,0.26741944099998705
11,0.305894672870636,0.7226782441139221,0.29039059699999825
12,0.30319666862487793,0.7046512365341187,0.27887628399997766
13,0.27053070068359375,0.650171160697937,0.2843246910000232
14,0.2782604396343231,0.6196457147598267,0.2879397190000077
15,0.261136531829834,0.6685578227043152,0.2636301240000023
16,0.2435450255870819,0.5675439834594727,0.26991317200000253
17,0.22322368621826172,0.5626713037490845,0.26424058500001024
18,0.261630117893219,0.6392613053321838,0.3242475769999942
19,0.24371162056922913,0.7219186425209045,0.32918911999999523
20,0.25573116540908813,0.7618348598480225,0.30530685499999777
21,0.2236529290676117,0.6690387725830078,0.28887141799998517
22,0.19681906700134277,0.5280329585075378,0.34149438199997917
23,0.24215057492256165,0.7956514954566956,0.2685691259999885
24,0.20659658312797546,0.612851083278656,0.2706950310000025
25,0.2887042760848999,0.7341445684432983,0.2767504219999921
26,0.2328987419605255,0.6122885346412659,0.2692245160000084
27,0.21407970786094666,0.6957225799560547,0.2647904510000103
28,0.22571077942848206,0.784346342086792,0.2809135410000181
29,0.19716806709766388,0.6767445802688599,0.264094660000012
30,0.23562946915626526,0.8591290712356567,0.25164856100002453
31,0.22166499495506287,0.4878058135509491,0.33312259799998856
32,0.18755242228507996,0.5538080930709839,0.2608252309999841
33,0.21934767067432404,0.6926684379577637,0.2662373349999996
34,0.2113172709941864,0.6347574591636658,0.2583222220000039
35,0.1928595006465912,0.7263750433921814,0.2671196970000267
36,0.18468627333641052,0.6145306825637817,0.2607588900000053
37,0.18766215443611145,0.5528784990310669,0.2652012609999872
38,0.21060290932655334,0.7239675521850586,0.2696918399999788
39,0.2173670083284378,0.7353320717811584,0.26172571000000744
40,0.22210267186164856,0.5534219741821289,0.26017762000000744
41,0.2415994107723236,0.5228150486946106,0.261883427000015
42,0.1965697854757309,0.7035378217697144,0.2630769820000012
43,0.1888616532087326,0.6875919103622437,0.26542049400001133
44,0.22247397899627686,0.880230724811554,0.2887095589999831
45,0.19121456146240234,0.5857123136520386,0.28720977099999345
46,0.2322452962398529,0.6736270189285278,0.26803603600001225
47,0.19366437196731567,0.6652377247810364,0.26541854199999193
48,0.25031620264053345,0.6195727586746216,0.2604966980000256
49,0.1883040964603424,0.639164388179779,0.26854180800000904
50,0.19943425059318542,0.5004856586456299,0.2667906880000146
51,0.17598067224025726,0.5909817814826965,0.2765855350000095
52,0.1727825254201889,0.5798313021659851,0.27212525199999504
53,0.2097298502922058,0.6524662375450134,0.26615207599999735
54,0.19069704413414001,0.5356997847557068,0.27072590100002003
55,0.2015971541404724,0.5034750699996948,0.27113836499998456
56,0.1809173822402954,0.6639866232872009,0.268458035000009
57,0.18813112378120422,0.6048292517662048,0.28208201900000063
58,0.17505314946174622,0.6742061972618103,0.26749232399998846
59,0.17185205221176147,0.5238394737243652,0.26660408899999766
60,0.19484607875347137,0.7035172581672668,0.25628751900001134
61,0.17328885197639465,0.7031646966934204,0.27151571000001695
62,0.16169455647468567,0.5940608382225037,0.2827616019999937
63,0.1611921489238739,0.5556437969207764,0.2749352029999841
64,0.18917039036750793,0.4294910430908203,0.2543045090000078
65,0.16976356506347656,0.6544278860092163,0.25960361700001044
66,0.2045302391052246,0.6132048964500427,0.25714836500000615
67,0.17269450426101685,0.7142607569694519,0.29196441799999207
68,0.15810102224349976,0.6402949094772339,0.28173126799998727
69,0.1921897530555725,0.7443696856498718,0.2745057749999944
70,0.20506468415260315,0.8483677506446838,0.2737348389999852
71,0.17499098181724548,0.5744495987892151,0.2715899199999967
72,0.18726608157157898,0.4271402060985565,0.2604062950000241
73,0.16089960932731628,0.5178050994873047,0.255350261999979
74,0.15958184003829956,0.6179236769676208,0.25747408400002314
75,0.17338955402374268,0.6362417340278625,0.2608080079999979
76,0.20229798555374146,0.3820571005344391,0.3015346349999959
77,0.16197651624679565,0.655924379825592,0.275440734
78,0.15894094109535217,0.636387050151825,0.2633251470000175
79,0.16481852531433105,0.5145444273948669,0.2675681919999988
80,0.19877228140830994,0.3685341775417328,0.2692803650000144
81,0.15868766605854034,0.6238395571708679,0.27776540100001057
82,0.157235249876976,0.6784473657608032,0.2687459360000162
83,0.1969488114118576,0.7105667591094971,0.27522665500001153
84,0.139060378074646,0.5746672749519348,0.26708815499998195
85,0.1612713634967804,0.68836510181427,0.26166390999998157
86,0.16741523146629333,0.593741774559021,0.26556144999997855
87,0.17513002455234528,0.6032351851463318,0.2561903120000011
88,0.1929345279932022,0.4339773952960968,0.26617981399999735
89,0.19215646386146545,0.6411463618278503,0.2599724700000081
90,0.14196795225143433,0.5875605344772339,0.25893143900000837
91,0.18210184574127197,0.47783857583999634,0.2588117239999974
92,0.15048930048942566,0.6545798778533936,0.2660407550000059
93,0.17618553340435028,0.44141677021980286,0.2593713649999927
94,0.18047165870666504,0.7232070565223694,0.257049760000001
95,0.18811576068401337,0.3781775236129761,0.2661162109999964
96,0.15037155151367188,0.6534193158149719,0.2740836940000122
97,0.13222451508045197,0.5254279971122742,0.2685682260000135
98,0.15547791123390198,0.65314120054245,0.259713124000001
99,0.13862007856369019,0.5128315091133118,0.2589893800000027
100,0.17124903202056885,0.5887725949287415,0.2728294329999983
